Letter,English,Polish
A,8.167,8.910
B,1.492,1.470
C,2.782,3.960
D,4.253,3.250
E,12.702,7.660
F,2.228,0.300
G,2.015,1.420
H,6.094,1.080
I,6.966,8.210
J,0.153,2.280
K,0.772,3.510
L,4.025,2.100
M,2.406,2.800
N,6.749,5.520
O,7.507,7.750
P,1.929,3.130
Q,0.095,0.140
R,5.987,4.690
S,6.327,4.320
T,9.056,3.980
U,2.758,2.500
V,0.978,0.040
W,2.360,4.650
X,0.150,0.020
Y,1.974,3.760
Z,0.074,5.640
Ą,0,0.990
Ć,0,0.400
Ę,0,1.110
Ł,0,1.820
Ń,0,0.200
Ó,0,0.850
Ś,0,0.660
Ź,0,0.060
Ż,0,0.830